pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.287,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.2953,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.3181,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.2865,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.3238,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.6343,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.63,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.6362,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.6324,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.6334,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.6362,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.4986,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.541,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.5398,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.4882,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.4979,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.4655,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.6663,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.6559,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.6563,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.6563,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.6397,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.5525,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.951,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.9412,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.953,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.9881,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.9495,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.9363,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8916,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.8748,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.87,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.876,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.8682,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.8799,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.9211,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.9187,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.9206,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.9304,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.9212,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.9174,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.092,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.0875,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.0847,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,0.095,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.0889,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.0952,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.194,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,0.1697,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,0.2031,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.1998,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,0.2013,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.2101,2
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.0699,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.0724,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,0.0771,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.0726,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,0.0573,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.0818,2
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.0819,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.0796,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,0.0752,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.0873,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.0841,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.0903,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.0188,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,0.1002,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,0.0634,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.0267,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,-0.0367,2
16,n<=4,sr<=70%,kvB<=1k,kp=0,-0.0154,2
16,n<=4,sr<=70%,kvB<=4k,kp<=1k,0.064,2
16,n<=4,sr<=70%,kvB<=4k,kp<=2k,0.0365,2
16,n<=4,sr<=70%,kvB<=4k,kp<=4k,0.0701,2
16,n<=4,sr<=70%,kvB<=4k,kp<=512,0.0582,2
16,n<=4,sr<=70%,kvB<=4k,kp<=8k,0.0603,2
16,n<=4,sr<=70%,kvB<=4k,kp=0,0.063,2
16,n<=4,sr>70%,kvB<=16k,kp<=1k,-0.0517,2
16,n<=4,sr>70%,kvB<=16k,kp<=2k,-0.0539,2
16,n<=4,sr>70%,kvB<=16k,kp<=4k,-0.0377,2
16,n<=4,sr>70%,kvB<=16k,kp<=512,-0.0482,2
16,n<=4,sr>70%,kvB<=16k,kp<=8k,-0.0524,2
16,n<=4,sr>70%,kvB<=16k,kp=0,-0.0647,2
16,n<=4,sr>70%,kvB<=1k,kp<=1k,0.104,2
16,n<=4,sr>70%,kvB<=1k,kp<=2k,0.0228,2
16,n<=4,sr>70%,kvB<=1k,kp<=4k,-0.0894,2
16,n<=4,sr>70%,kvB<=1k,kp<=512,0.0089,2
16,n<=4,sr>70%,kvB<=1k,kp<=8k,0.0242,2
16,n<=4,sr>70%,kvB<=1k,kp=0,0.0873,2
16,n<=4,sr>70%,kvB<=4k,kp<=1k,-0.1243,2
16,n<=4,sr>70%,kvB<=4k,kp<=2k,-0.1561,2
16,n<=4,sr>70%,kvB<=4k,kp<=4k,-0.0876,2
16,n<=4,sr>70%,kvB<=4k,kp<=512,-0.1095,2
16,n<=4,sr>70%,kvB<=4k,kp<=8k,-0.1372,2
16,n<=4,sr>70%,kvB<=4k,kp=0,-0.1249,2
16,n<=64,sr<=15%,kvB<=16k,kp<=1k,0.1282,4
16,n<=64,sr<=15%,kvB<=16k,kp<=2k,0.1208,4
16,n<=64,sr<=15%,kvB<=16k,kp<=4k,0.1213,4
16,n<=64,sr<=15%,kvB<=16k,kp<=512,0.1261,4
16,n<=64,sr<=15%,kvB<=16k,kp<=8k,0.1338,4
16,n<=64,sr<=15%,kvB<=16k,kp=0,0.1357,4
16,n<=64,sr<=15%,kvB<=1k,kp<=1k,0.1765,4
16,n<=64,sr<=15%,kvB<=1k,kp<=2k,0.1775,4
16,n<=64,sr<=15%,kvB<=1k,kp<=4k,0.1529,4
16,n<=64,sr<=15%,kvB<=1k,kp<=512,0.1638,4
16,n<=64,sr<=15%,kvB<=1k,kp<=8k,0.1727,4
16,n<=64,sr<=15%,kvB<=1k,kp=0,0.177,4
16,n<=64,sr<=15%,kvB<=4k,kp<=1k,0.1228,4
16,n<=64,sr<=15%,kvB<=4k,kp<=2k,0.1446,4
16,n<=64,sr<=15%,kvB<=4k,kp<=4k,0.13,4
16,n<=64,sr<=15%,kvB<=4k,kp<=512,0.1459,4
16,n<=64,sr<=15%,kvB<=4k,kp<=8k,0.1287,4
16,n<=64,sr<=15%,kvB<=4k,kp=0,0.1326,4
16,n<=64,sr<=40%,kvB<=16k,kp<=1k,0.1086,2
16,n<=64,sr<=40%,kvB<=16k,kp<=2k,0.1004,2
16,n<=64,sr<=40%,kvB<=16k,kp<=4k,0.1084,2
16,n<=64,sr<=40%,kvB<=16k,kp<=512,0.1099,2
16,n<=64,sr<=40%,kvB<=16k,kp<=8k,0.1107,2
16,n<=64,sr<=40%,kvB<=16k,kp=0,0.1103,2
16,n<=64,sr<=40%,kvB<=1k,kp<=1k,0.1201,2
