prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,1,8192,75.0503
16,256,1,16384,109.226
16,256,2,16,30.0267
16,256,2,32,32.5863
16,256,2,64,35.04
16,256,2,128,41.6107
16,256,2,256,41.6637
16,256,2,512,42.517
16,256,2,1024,49.589
16,256,2,2048,54.6447
16,256,2,4096,73.0663
16,256,2,8192,108.296
16,256,2,16384,173.886
16,256,4,16,30.2077
16,256,4,32,33.6103
16,256,4,64,35.5413
16,256,4,128,42.1333
16,256,4,256,42.72
16,256,4,512,50.0997
16,256,4,1024,58.1753
16,256,4,2048,76.447
16,256,4,4096,110.686
16,256,4,8192,179.348
16,256,4,16384,315.516
16,256,8,16,30.6773
16,256,8,32,33.333
16,256,8,64,36.0313
16,256,8,128,43.4013
16,256,8,256,50.2077
16,256,8,512,58.1327
16,256,8,1024,76.384
16,256,8,2048,111.967
16,256,8,4096,180.595
16,256,8,8192,315.784
16,256,8,16384,586.256
16,256,16,16,31.2427
16,256,16,32,34.4747
16,256,16,64,37.5037
16,256,16,128,51.2423
16,256,16,256,59.0813
16,256,16,512,76.4367
16,256,16,1024,109.609
16,256,16,2048,177.544
16,256,16,4096,312.637
16,256,16,8192,585.199
16,256,16,16384,1123.73
16,256,32,16,34.464
16,256,32,32,39.9997
16,256,32,64,45.024
16,256,32,128,55.7117
16,256,32,256,73.6513
16,256,32,512,107.519
16,256,32,1024,175.881
16,256,32,2048,313.073
16,256,32,4096,581.242
16,256,32,8192,1118.29
16,256,32,16384,2202.06
16,256,64,16,42.9013
16,256,64,32,52.9387
16,256,64,64,63.1463
16,256,64,128,80.1487
16,256,64,256,114.057
16,256,64,512,178.633
16,256,64,1024,310.77
16,256,64,2048,572.517
16,256,64,4096,1094.98
16,256,64,8192,2138.07
16,256,64,16384,4224.88
16,256,128,16,56.5977
16,256,128,32,73.4707
16,256,128,64,91.807
16,256,128,128,125.406
16,256,128,256,191.593
16,256,128,512,320.754
16,256,128,1024,577.947
16,256,128,2048,1095.58
16,256,128,4096,2128.62
16,256,128,8192,4196.61
16,256,128,16384,8334.37
16,512,0,0,23.6693
16,512,1,16,30.816
16,512,1,32,33.1513
16,512,1,64,35.7863
16,512,1,128,42.0793
16,512,1,256,42.3777
16,512,1,512,42.7197
16,512,1,1024,43.7233
16,512,1,2048,46.0477
16,512,1,4096,56.7457
16,512,1,8192,74.8147
16,512,1,16384,109.439
16,512,2,16,30.8373
16,512,2,32,33.3763
16,512,2,64,35.8287
16,512,2,128,42.1973
16,512,2,256,42.6563
16,512,2,512,43.4453
16,512,2,1024,50.4323
16,512,2,2048,55.7117
16,512,2,4096,73.5567
16,512,2,8192,110.056
16,512,2,16384,173.897
16,512,4,16,30.9013
16,512,4,32,33.493
16,512,4,64,36.2237
16,512,4,128,42.7193
16,512,4,256,43.6373
16,512,4,512,50.752
16,512,4,1024,58.8687
16,512,4,2048,77.6953
16,512,4,4096,112.148
16,512,4,8192,180.415
16,512,4,16384,315.986
16,512,8,16,31.0933
16,512,8,32,33.877
16,512,8,64,36.65
16,512,8,128,43.6367
16,512,8,256,50.6347
16,512,8,512,59.1667
16,512,8,1024,76.7033
16,512,8,2048,111.646
16,512,8,4096,180.276
16,512,8,8192,314.312
16,512,8,16384,584.709
16,512,16,16,31.871
16,512,16,32,35.0503
16,512,16,64,38.155
16,512,16,128,51.8823
16,512,16,256,60.043
16,512,16,512,77.4283
16,512,16,1024,110.836
16,512,16,2048,178.185
16,512,16,4096,313.886
16,512,16,8192,582.598
16,512,16,16384,1121.31
16,512,32,16,35.1573
16,512,32,32,40.8853
16,512,32,64,46.0897
16,512,32,128,56.2877
16,512,32,256,73.418
16,512,32,512,108.277
16,512,32,1024,176.883
16,512,32,2048,312.082
16,512,32,4096,581.381
16,512,32,8192,1121.51
16,512,32,16384,2197.66
16,512,64,16,43.423
16,512,64,32,53.578
16,512,64,64,63.9247
16,512,64,128,81.184
16,512,64,256,114.825
16,512,64,512,179.785
16,512,64,1024,310.727
16,512,64,2048,571.931
16,512,64,4096,1094.99
16,512,64,8192,2140.1
16,512,64,16384,4227.61
16,512,128,16,56.9917
16,512,128,32,74.4097
16,512,128,64,92.8313
16,512,128,128,126.143
16,512,128,256,192.371
16,512,128,512,321.031
16,512,128,1024,579.514
16,512,128,2048,1096.94
16,512,128,4096,2127.87
16,512,128,8192,4194.21
16,512,128,16384,8327.52
16,1024,0,0,25.2157
16,1024,1,16,31.978
16,1024,1,32,34.368
16,1024,1,64,36.928
16,1024,1,128,43.456
16,1024,1,256,43.68
16,1024,1,512,44.128
16,1024,1,1024,45.172
16,1024,1,2048,47.4123
16,1024,1,4096,58.559
16,1024,1,8192,76.5113
16,1024,1,16384,111.828
16,1024,2,16,32.2343
16,1024,2,32,34.6663
16,1024,2,64,37.301
16,1024,2,128,43.6053
16,1024,2,256,43.968
16,1024,2,512,44.8323
16,1024,2,1024,51.999
16,1024,2,2048,58.2513
16,1024,2,4096,75.2417
16,1024,2,8192,111.199
16,1024,2,16384,176.926
16,1024,4,16,32.1067
16,1024,4,32,34.8907
16,1024,4,64,37.557
16,1024,4,128,43.85
16,1024,4,256,44.7467
16,1024,4,512,51.7643
16,1024,4,1024,60.5973
16,1024,4,2048,78.58
16,1024,4,4096,113.961
16,1024,4,8192,182.025
16,1024,4,16384,316.925
16,1024,8,16,32.671
16,1024,8,32,35.4023
16,1024,8,64,37.9947
16,1024,8,128,45.3647
16,1024,8,256,52.1283
16,1024,8,512,61.418
16,1024,8,1024,79.0713
16,1024,8,2048,113.929
16,1024,8,4096,180.979
16,1024,8,8192,317.64
16,1024,8,16384,586.97
16,1024,16,16,33.2593
16,1024,16,32,36.607
16,1024,16,64,39.8073
16,1024,16,128,52.9387
16,1024,16,256,62.2717
16,1024,16,512,78.943
16,1024,16,1024,113.247
16,1024,16,2048,179.54
16,1024,16,4096,315.72
16,1024,16,8192,582.586
16,1024,16,16384,1123.28
16,1024,32,16,36.544
16,1024,32,32,42.3247
16,1024,32,64,47.712
16,1024,32,128,58.176
16,1024,32,256,74.8367
16,1024,32,512,110.708
16,1024,32,1024,177.79
16,1024,32,2048,314.28
16,1024,32,4096,582.501
16,1024,32,8192,1120.12
16,1024,32,16384,2200.97
16,1024,64,16,44.875
16,1024,64,32,55.8067
16,1024,64,64,66.3567
16,1024,64,128,83.093
16,1024,64,256,116.16
16,1024,64,512,181.94
16,1024,64,1024,312.572
16,1024,64,2048,573.861
16,1024,64,4096,1094.96
16,1024,64,8192,2140.51
16,1024,64,16384,4233.87
16,1024,128,16,58.6667
16,1024,128,32,76.7247
16,1024,128,64,94.6557
16,1024,128,128,128.479
16,1024,128,256,194.548
16,1024,128,512,323.187
16,1024,128,1024,581.456
16,1024,128,2048,1096.18
16,1024,128,4096,2128.05
16,1024,128,8192,4195.58
16,1024,128,16384,8333.44
16,2048,0,0,27.701
16,2048,1,16,34.3153
16,2048,1,32,36.758
16,2048,1,64,39.3707
16,2048,1,128,45.7373
16,2048,1,256,46.0587
16,2048,1,512,46.602
16,2048,1,1024,47.562
16,2048,1,2048,49.664
16,2048,1,4096,61.1187
16,2048,1,8192,78.4523
16,2048,1,16384,115.06
16,2048,2,16,34.336
16,2048,2,32,37.046
16,2048,2,64,39.349
16,2048,2,128,45.717
16,2048,2,256,46.4
16,2048,2,512,47.0823
16,2048,2,1024,54.0263
16,2048,2,2048,60.16
16,2048,2,4096,77.8983
16,2048,2,8192,113.95
16,2048,2,16384,177.876
16,2048,4,16,34.6983
16,2048,4,32,37.0457
16,2048,4,64,40.0847
16,2048,4,128,46.4097
16,2048,4,256,47.434
16,2048,4,512,53.8877
16,2048,4,1024,63.2953
16,2048,4,2048,80.9067
16,2048,4,4096,116.692
16,2048,4,8192,184.895
16,2048,4,16384,320.36
16,2048,8,16,34.8373
16,2048,8,32,37.653
16,2048,8,64,40.672
16,2048,8,128,47.669
16,2048,8,256,54.6763
16,2048,8,512,63.5727
16,2048,8,1024,81.0127
16,2048,8,2048,116.511
16,2048,8,4096,184.307
16,2048,8,8192,319.517
16,2048,8,16384,587.909
16,2048,16,16,36.0427
16,2048,16,32,39.3067
16,2048,16,64,42.7093
16,2048,16,128,55.5413
16,2048,16,256,63.6577
16,2048,16,512,81.8023
16,2048,16,1024,115.552
16,2048,16,2048,182.687
16,2048,16,4096,317.319
16,2048,16,8192,586.639
16,2048,16,16384,1125.72
16,2048,32,16,39.2743
16,2048,32,32,44.778
16,2048,32,64,49.6957
16,2048,32,128,60.853
16,2048,32,256,78.41
16,2048,32,512,113.077
16,2048,32,1024,181.011
16,2048,32,2048,316.264
16,2048,32,4096,587.59
16,2048,32,8192,1123.65
16,2048,32,16384,2204.84
16,2048,64,16,47.562
16,2048,64,32,57.4613
16,2048,64,64,68.32
16,2048,64,128,85.0233
16,2048,64,256,119.294
16,2048,64,512,185.802
16,2048,64,1024,314.888
16,2048,64,2048,576.283
16,2048,64,4096,1099.42
16,2048,64,8192,2144.36
16,2048,64,16384,4234.36
16,2048,128,16,60.99
16,2048,128,32,78.7193
16,2048,128,64,95.562
16,2048,128,128,131.146
16,2048,128,256,196.19
16,2048,128,512,324.723
16,2048,128,1024,582.321
16,2048,128,2048,1098.76
16,2048,128,4096,2132.68
16,2048,128,8192,4200.37
16,2048,128,16384,8337.44
16,4096,0,0,37.6523
16,4096,1,16,44.661
16,4096,1,32,47.2207
16,4096,1,64,49.9627
16,4096,1,128,55.9677
16,4096,1,256,55.9783
16,4096,1,512,57.0773
16,4096,1,1024,57.301
16,4096,1,2048,60.1273
16,4096,1,4096,71.359
16,4096,1,8192,90.8573
16,4096,1,16384,124.767
16,4096,2,16,44.6923
16,4096,2,32,47.222
16,4096,2,64,49.8557
16,4096,2,128,56.458
16,4096,2,256,56.6293
16,4096,2,512,57.5567
16,4096,2,1024,65.1307
16,4096,2,2048,70.9107
16,4096,2,4096,89.013
16,4096,2,8192,124.383
16,4096,2,16384,187.71
16,4096,4,16,44.8743
16,4096,4,32,47.1457
16,4096,4,64,49.973
16,4096,4,128,56.704
16,4096,4,256,57.056
16,4096,4,512,65.0993
16,4096,4,1024,72.8853
16,4096,4,2048,92.4897
16,4096,4,4096,125.684
16,4096,4,8192,193.759
16,4096,4,16384,326.322
16,4096,8,16,45.3433
16,4096,8,32,48.0203
16,4096,8,64,50.7087
16,4096,8,128,57.9083
16,4096,8,256,64.959
16,4096,8,512,73.9837
16,4096,8,1024,92.853
16,4096,8,2048,127.624
16,4096,8,4096,194.718
16,4096,8,8192,326.749
16,4096,8,16384,590.949
16,4096,16,16,46.496
16,4096,16,32,49.5147
16,4096,16,64,52.5863
16,4096,16,128,66.1103
16,4096,16,256,75.1677
16,4096,16,512,94.6333
16,4096,16,1024,127.231
16,4096,16,2048,192.596
16,4096,16,4096,325.234
16,4096,16,8192,591.034
16,4096,16,16384,1120.05
16,4096,32,16,49.3647
16,4096,32,32,55.593
16,4096,32,64,60.992
16,4096,32,128,70.8683
16,4096,32,256,89.2143
16,4096,32,512,123.146
16,4096,32,1024,190.408
16,4096,32,2048,324.029
16,4096,32,4096,588.017
16,4096,32,8192,1122.86
16,4096,32,16384,2181.33
16,4096,64,16,58.197
16,4096,64,32,69.2263
16,4096,64,64,79.4547
16,4096,64,128,96.394
16,4096,64,256,130.58
16,4096,64,512,196.34
16,4096,64,1024,326.962
16,4096,64,2048,587.728
16,4096,64,4096,1111.81
16,4096,64,8192,2157.32
16,4096,64,16384,4247.02
16,4096,128,16,72.2343
16,4096,128,32,89.983
16,4096,128,64,108.479
16,4096,128,128,142.441
16,4096,128,256,209.246
16,4096,128,512,338.674
16,4096,128,1024,596.251
16,4096,128,2048,1111.5
16,4096,128,4096,2145.94
16,4096,128,8192,4213.43
16,4096,128,16384,8350.54
16,8192,0,0,54.73
16,8192,1,16,62.528
16,8192,1,32,64.8313
16,8192,1,64,67.4223
16,8192,1,128,73.9833
16,8192,1,256,73.7067
16,8192,1,512,74.1437
16,8192,1,1024,75.52
16,8192,1,2048,77.7173
16,8192,1,4096,89.311
16,8192,1,8192,106.356
16,8192,1,16384,142.462
16,8192,2,16,62.6447
16,8192,2,32,65.0657
16,8192,2,64,68.224
16,8192,2,128,74.4953
16,8192,2,256,73.898
16,8192,2,512,75.337
16,8192,2,1024,82.708
16,8192,2,2048,88.8413
16,8192,2,4096,105.876
16,8192,2,8192,140.798
16,8192,2,16384,205.896
16,8192,4,16,62.879
16,8192,4,32,65.301
16,8192,4,64,68.3837
16,8192,4,128,74.9117
16,8192,4,256,74.7507
16,8192,4,512,82.6347
16,8192,4,1024,90.794
16,8192,4,2048,109.246
16,8192,4,4096,143.945
16,8192,4,8192,211.741
16,8192,4,16384,343.837
16,8192,8,16,62.9647
16,8192,8,32,65.6953
16,8192,8,64,68.6603
16,8192,8,128,76.0313
16,8192,8,256,82.944
16,8192,8,512,92.2223
16,8192,8,1024,110.11
16,8192,8,2048,144.723
16,8192,8,4096,211.742
16,8192,8,8192,343.922
16,8192,8,16384,609.937
16,8192,16,16,64.1703
16,8192,16,32,66.8573
16,8192,16,64,69.8023
16,8192,16,128,83.6673
16,8192,16,256,93.7907
16,8192,16,512,112.074
16,8192,16,1024,145.417
16,8192,16,2048,211.146
16,8192,16,4096,343.431
16,8192,16,8192,609.552
16,8192,16,16384,1138.83
16,8192,32,16,67.168
16,8192,32,32,72.905
16,8192,32,64,78.8257
16,8192,32,128,87.818
