pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
64,n<=64,sr>70%,kvB<=1k,kp=0,0.2399,4
64,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.1082,2
64,n<=8,sr<=15%,kvB<=1k,kp<=512,0.1093,2
64,n<=8,sr<=15%,kvB<=1k,kp=0,0.1263,2
64,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.0193,4
64,n<=8,sr<=40%,kvB<=1k,kp<=512,0.0172,4
64,n<=8,sr<=40%,kvB<=1k,kp=0,0.0301,4
64,n<=8,sr<=70%,kvB<=1k,kp<=1k,-0.0064,2
64,n<=8,sr<=70%,kvB<=1k,kp<=512,0.009,2
64,n<=8,sr<=70%,kvB<=1k,kp=0,0.0016,2
64,n<=8,sr>70%,kvB<=1k,kp<=1k,0.799,4
64,n<=8,sr>70%,kvB<=1k,kp<=512,0.8153,4
64,n<=8,sr>70%,kvB<=1k,kp=0,0.8687,4
128,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0404,4
128,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0412,4
128,n<=128,sr<=15%,kvB<=1k,kp=0,0.0427,4
128,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0293,2
128,n<=128,sr<=40%,kvB<=1k,kp<=512,0.033,2
128,n<=128,sr<=40%,kvB<=1k,kp=0,0.0333,2
128,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0548,8
128,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0549,8
128,n<=128,sr<=5%,kvB<=1k,kp=0,0.0537,8
128,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0133,2
128,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0193,2
128,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0132,2
128,n<=128,sr>70%,kvB<=1k,kp<=1k,-0.0389,4
128,n<=128,sr>70%,kvB<=1k,kp<=512,-0.051,4
128,n<=128,sr>70%,kvB<=1k,kp=0,-0.0469,4
128,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.4377,4
128,n<=16,sr<=15%,kvB<=1k,kp<=512,0.4323,4
128,n<=16,sr<=15%,kvB<=1k,kp=0,0.4282,4
128,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.4951,4
128,n<=16,sr<=40%,kvB<=1k,kp<=512,0.491,4
128,n<=16,sr<=40%,kvB<=1k,kp=0,0.4891,4
128,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.9083,2
128,n<=16,sr<=70%,kvB<=1k,kp<=512,0.9227,2
128,n<=16,sr<=70%,kvB<=1k,kp=0,0.9017,2
128,n<=16,sr>70%,kvB<=1k,kp<=1k,0.9164,4
128,n<=16,sr>70%,kvB<=1k,kp<=512,0.8798,4
128,n<=16,sr>70%,kvB<=1k,kp=0,0.8999,4
128,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.0818,2
128,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0217,2
128,n<=2,sr<=70%,kvB<=1k,kp=0,0.0148,2
128,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.336,6
128,n<=32,sr<=15%,kvB<=1k,kp<=512,0.3104,6
128,n<=32,sr<=15%,kvB<=1k,kp=0,0.3325,6
128,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.3054,2
128,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2978,2
128,n<=32,sr<=40%,kvB<=1k,kp=0,0.2962,2
128,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.2943,2
128,n<=32,sr<=5%,kvB<=1k,kp<=512,0.3196,2
128,n<=32,sr<=5%,kvB<=1k,kp=0,0.3251,2
128,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.4813,2
128,n<=32,sr<=70%,kvB<=1k,kp<=512,0.5459,2
128,n<=32,sr<=70%,kvB<=1k,kp=0,0.437,2
128,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8734,4
128,n<=32,sr>70%,kvB<=1k,kp<=512,0.8806,4
128,n<=32,sr>70%,kvB<=1k,kp=0,0.885,4
128,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.1649,2
128,n<=4,sr<=40%,kvB<=1k,kp<=512,0.1528,2
128,n<=4,sr<=40%,kvB<=1k,kp=0,0.1867,2
128,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.0359,2
128,n<=4,sr<=70%,kvB<=1k,kp<=512,-0.0066,2
128,n<=4,sr<=70%,kvB<=1k,kp=0,0.0462,2
128,n<=4,sr>70%,kvB<=1k,kp<=1k,0.0956,2
128,n<=4,sr>70%,kvB<=1k,kp<=512,0.066,2
128,n<=4,sr>70%,kvB<=1k,kp=0,0.1035,2
128,n<=64,sr<=15%,kvB<=1k,kp<=1k,0.1531,4
128,n<=64,sr<=15%,kvB<=1k,kp<=512,0.147,4
128,n<=64,sr<=15%,kvB<=1k,kp=0,0.1661,4
128,n<=64,sr<=40%,kvB<=1k,kp<=1k,0.128,2
128,n<=64,sr<=40%,kvB<=1k,kp<=512,0.1115,2
128,n<=64,sr<=40%,kvB<=1k,kp=0,0.112,2
128,n<=64,sr<=5%,kvB<=1k,kp<=1k,0.1421,6
128,n<=64,sr<=5%,kvB<=1k,kp<=512,0.1464,6
128,n<=64,sr<=5%,kvB<=1k,kp=0,0.1527,6
128,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.1796,2
128,n<=64,sr<=70%,kvB<=1k,kp<=512,0.1564,2
128,n<=64,sr<=70%,kvB<=1k,kp=0,0.1715,2
128,n<=64,sr>70%,kvB<=1k,kp<=1k,0.1741,4
128,n<=64,sr>70%,kvB<=1k,kp<=512,0.1734,4
128,n<=64,sr>70%,kvB<=1k,kp=0,0.1903,4
128,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.1102,2
128,n<=8,sr<=15%,kvB<=1k,kp<=512,0.1271,2
128,n<=8,sr<=15%,kvB<=1k,kp=0,0.123,2
128,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.0222,4
128,n<=8,sr<=40%,kvB<=1k,kp<=512,0.0269,4
128,n<=8,sr<=40%,kvB<=1k,kp=0,0.0316,4
128,n<=8,sr<=70%,kvB<=1k,kp<=1k,0.0077,2
128,n<=8,sr<=70%,kvB<=1k,kp<=512,0.0046,2
128,n<=8,sr<=70%,kvB<=1k,kp=0,0.0182,2
128,n<=8,sr>70%,kvB<=1k,kp<=1k,0.6557,4
128,n<=8,sr>70%,kvB<=1k,kp<=512,0.701,4
128,n<=8,sr>70%,kvB<=1k,kp=0,0.762,4
256,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0417,4
256,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0405,4
256,n<=128,sr<=15%,kvB<=1k,kp=0,0.0428,4
256,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0332,2
256,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0209,2
256,n<=128,sr<=40%,kvB<=1k,kp=0,0.0289,2
256,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0526,8
256,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0531,8
256,n<=128,sr<=5%,kvB<=1k,kp=0,0.052,8
