prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
32,0,1,256,41.0883
32,0,1,512,41.9953
32,0,1,1024,48.6833
32,0,2,16,29.4513
32,0,2,32,32.064
32,0,2,64,34.56
32,0,2,128,41.2473
32,0,2,256,42.037
32,0,2,512,49.3227
32,0,2,1024,56.928
32,0,4,16,29.867
32,0,4,32,32.448
32,0,4,64,35.2853
32,0,4,128,42.6663
32,0,4,256,49.4727
32,0,4,512,57.9633
32,0,4,1024,76.278
32,0,8,16,30.4743
32,0,8,32,33.44
32,0,8,64,36.5653
32,0,8,128,50.8163
32,0,8,256,58.3787
32,0,8,512,76.416
32,0,8,1024,109.972
32,0,16,16,33.6
32,0,16,32,39.4663
32,0,16,64,44.4487
32,0,16,128,54.56
32,0,16,256,72.6723
32,0,16,512,106.261
32,0,16,1024,173.76
32,0,32,16,40.1707
32,0,32,32,50.1867
32,0,32,64,61.2057
32,0,32,128,79.477
32,0,32,256,111.669
32,0,32,512,178.432
32,0,32,1024,309.463
32,0,64,16,54.027
32,0,64,32,71.9583
32,0,64,64,90.198
32,0,64,128,124.982
32,0,64,256,189.494
32,0,64,512,320.438
32,0,64,1024,578.861
32,0,128,16,78.6243
32,0,128,32,110.636
32,0,128,64,142.358
32,0,128,128,210.006
32,0,128,256,337.122
32,0,128,512,593.154
32,0,128,1024,1103.48
32,16,0,0,22.816
32,16,1,16,29.536
32,16,1,32,31.925
32,16,1,64,34.603
32,16,1,128,41.0883
32,16,1,256,41.377
32,16,1,512,42.1337
32,16,1,1024,48.993
32,16,2,16,29.5897
32,16,2,32,32.0857
32,16,2,64,34.6347
32,16,2,128,41.654
32,16,2,256,42.347
32,16,2,512,49.6217
32,16,2,1024,57.824
32,16,4,16,29.899
32,16,4,32,32.6403
32,16,4,64,35.4987
32,16,4,128,42.71
32,16,4,256,49.59
32,16,4,512,57.7923
32,16,4,1024,75.467
32,16,8,16,30.6353
32,16,8,32,33.6957
32,16,8,64,36.661
32,16,8,128,50.6457
32,16,8,256,58.7843
32,16,8,512,75.5313
32,16,8,1024,110.24
32,16,16,16,33.7493
32,16,16,32,39.3713
32,16,16,64,44.6613
32,16,16,128,55.0933
32,16,16,256,72.043
32,16,16,512,106.283
32,16,16,1024,173.472
32,16,32,16,40.533
32,16,32,32,50.24
32,16,32,64,60.9817
32,16,32,128,79.317
32,16,32,256,111.991
32,16,32,512,177.921
32,16,32,1024,309.026
32,16,64,16,53.835
32,16,64,32,71.691
32,16,64,64,90.603
32,16,64,128,124.982
32,16,64,256,189.185
32,16,64,512,320.225
32,16,64,1024,578.978
32,16,128,16,78.4753
32,16,128,32,110.475
32,16,128,64,142.539
