regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,4,2,0.5,4.0,32,0,256,1024,640,187.552,226.72,186.497,-0.0269
mixed,4,2,0.5,4.0,32,512,128,512,320,205.602,230.466,206.496,0.036
mixed,4,2,0.5,4.0,32,512,256,1024,640,244.288,285.312,244.96,0.0164
mixed,4,2,0.5,4.0,32,1024,128,512,320,270.528,295.2,269.985,-0.022
mixed,4,2,0.5,4.0,32,1024,256,1024,640,307.294,351.361,307.17,-0.0028
mixed,4,2,0.5,4.0,64,0,128,512,320,152.32,175.329,152.735,0.018
mixed,4,2,0.5,4.0,64,0,256,1024,640,190.464,230.593,188.641,-0.0454
mixed,4,2,0.5,4.0,64,512,128,512,320,287.935,310.628,285.44,-0.1099
mixed,4,2,0.5,4.0,64,512,256,1024,640,325.377,367.552,326.529,0.0273
mixed,4,2,0.5,4.0,64,1024,128,512,320,366.689,391.551,365.887,-0.0323
mixed,4,2,0.5,4.0,64,1024,256,1024,640,404.225,444.386,404.448,0.0056
mixed,4,2,0.5,4.0,128,0,128,512,320,174.145,200.097,174.946,0.0309
mixed,4,2,0.5,4.0,128,0,256,1024,640,211.65,255.745,213.92,0.0515
mixed,4,2,0.5,4.0,128,512,128,512,320,418.24,441.762,417.57,-0.0285
mixed,4,2,0.5,4.0,128,512,256,1024,640,454.976,495.583,455.008,0.0008
mixed,4,2,0.5,4.0,128,1024,128,512,320,514.817,540.673,515.811,0.0384
mixed,4,2,0.5,4.0,128,1024,256,1024,640,552.738,593.153,554.146,0.0348
mixed,4,2,0.5,4.0,256,0,128,512,320,469.955,492.575,468.224,-0.0765
mixed,4,2,0.5,4.0,256,0,256,1024,640,505.891,547.266,507.202,0.0317
mixed,4,2,0.5,4.0,256,512,128,512,320,670.978,694.69,670.913,-0.0027
mixed,4,2,0.5,4.0,256,512,256,1024,640,705.951,747.075,708.258,0.0561
mixed,4,2,0.5,4.0,256,1024,128,512,320,869.766,891.748,867.169,-0.1181
mixed,4,2,0.5,4.0,256,1024,256,1024,640,907.201,947.746,908.931,0.0427
mixed,4,2,0.5,4.0,512,0,128,512,320,549.505,573.408,548.769,-0.0308
mixed,4,2,0.5,4.0,512,0,256,1024,640,588.48,627.359,588.194,-0.0074
mixed,4,2,0.5,4.0,512,512,128,512,320,964.547,991.459,963.716,-0.0309
mixed,4,2,0.5,4.0,512,512,256,1024,640,1005.185,1046.304,1006.339,0.0281
mixed,4,2,0.5,4.0,512,1024,128,512,320,1357.798,1379.873,1357.217,-0.0263
mixed,4,2,0.5,4.0,512,1024,256,1024,640,1395.043,1438.083,1396.964,0.0446
mixed,4,2,0.5,4.0,1024,0,128,512,320,1337.282,1366.883,1340.451,0.1071
mixed,4,2,0.5,4.0,1024,0,256,1024,640,1380.098,1419.586,1377.572,-0.064
mixed,4,2,0.5,4.0,1024,512,128,512,320,2188.773,2214.439,2192.231,0.1347
mixed,4,2,0.5,4.0,1024,512,256,1024,640,2224.327,2272.07,2228.006,0.0771
pure,4,3,0.75,4.0,0,0,128,512,416,98.913,114.082,98.688,-0.0148
pure,4,3,0.75,4.0,0,0,256,1024,832,141.123,165.602,143.744,0.1071
mixed,4,3,0.75,4.0,16,0,128,512,416,120.865,134.72,120.351,-0.0371
mixed,4,3,0.75,4.0,16,0,256,1024,832,164.704,189.666,165.25,0.0219
mixed,4,3,0.75,4.0,16,512,128,512,416,170.784,188.544,171.105,0.0181
mixed,4,3,0.75,4.0,16,512,256,1024,832,214.914,239.617,216.128,0.0491
mixed,4,3,0.75,4.0,16,1024,128,512,416,192.543,211.424,192.224,-0.0169
mixed,4,3,0.75,4.0,16,1024,256,1024,832,237.023,265.472,239.49,0.0867
mixed,4,3,0.75,4.0,32,0,128,512,416,156.352,173.376,155.298,-0.0619
mixed,4,3,0.75,4.0,32,0,256,1024,832,203.074,226.369,203.233,0.0068
mixed,4,3,0.75,4.0,32,512,128,512,416,214.272,231.743,214.274,0.0001
mixed,4,3,0.75,4.0,32,512,256,1024,832,261.151,284.449,266.495,0.2294
mixed,4,3,0.75,4.0,32,1024,128,512,416,276.127,295.297,275.362,-0.0399
mixed,4,3,0.75,4.0,32,1024,256,1024,832,325.282,352.383,327.456,0.0802
mixed,4,3,0.75,4.0,64,0,128,512,416,160.608,175.105,158.114,-0.172
mixed,4,3,0.75,4.0,64,0,256,1024,832,205.185,230.304,206.434,0.0497
mixed,4,3,0.75,4.0,64,512,128,512,416,295.106,309.218,294.178,-0.0658
mixed,4,3,0.75,4.0,64,512,256,1024,832,343.488,365.248,344.415,0.0426
mixed,4,3,0.75,4.0,64,1024,128,512,416,373.473,389.537,373.504,0.0019
mixed,4,3,0.75,4.0,64,1024,256,1024,832,421.314,444.578,425.058,0.1609
mixed,4,3,0.75,4.0,128,0,128,512,416,184.097,199.168,181.664,-0.1614
mixed,4,3,0.75,4.0,128,0,256,1024,832,230.369,254.562,235.361,0.2063
mixed,4,3,0.75,4.0,128,512,128,512,416,423.616,439.745,422.627,-0.0613
mixed,4,3,0.75,4.0,128,512,256,1024,832,468.129,493.092,471.104,0.1192
mixed,4,3,0.75,4.0,128,1024,128,512,416,521.891,538.432,522.434,0.0328
mixed,4,3,0.75,4.0,128,1024,256,1024,832,570.433,591.809,573.281,0.1332
mixed,4,3,0.75,4.0,256,0,128,512,416,478.528,494.529,476.897,-0.1019
mixed,4,3,0.75,4.0,256,0,256,1024,832,519.232,545.796,522.851,0.1362
mixed,4,3,0.75,4.0,256,512,128,512,416,676.932,696.45,676.867,-0.0033
mixed,4,3,0.75,4.0,256,512,256,1024,832,721.186,746.883,723.266,0.0809
mixed,4,3,0.75,4.0,256,1024,128,512,416,876.003,893.155,876.099,0.0056
mixed,4,3,0.75,4.0,256,1024,256,1024,832,921.539,946.08,924.098,0.1043
mixed,4,3,0.75,4.0,512,0,128,512,416,557.155,573.857,558.082,0.0555
mixed,4,3,0.75,4.0,512,0,256,1024,832,603.716,627.713,603.556,-0.0067
mixed,4,3,0.75,4.0,512,512,128,512,416,972.354,990.786,972.643,0.0157
mixed,4,3,0.75,4.0,512,512,256,1024,832,1019.811,1042.501,1023.681,0.1706
mixed,4,3,0.75,4.0,512,1024,128,512,416,1365.763,1381.477,1363.617,-0.1366
mixed,4,3,0.75,4.0,512,1024,256,1024,832,1410.722,1438.406,1413.957,0.1169
mixed,4,3,0.75,4.0,1024,0,128,512,416,1344.965,1365.667,1348.577,0.1745
mixed,4,3,0.75,4.0,1024,0,256,1024,832,1396.29,1419.523,1397.922,0.0702
mixed,4,3,0.75,4.0,1024,512,128,512,416,2199.751,2213.16,2195.653,-0.3056
mixed,4,3,0.75,4.0,1024,512,256,1024,832,2246.692,2270.822,2249.896,0.1328
pure,8,1,0.125,4.0,0,0,128,512,176,98.401,167.169,105.697,0.1061
pure,8,1,0.125,4.0,0,0,256,1024,352,133.219,267.744,156.992,0.1767
mixed,8,1,0.125,4.0,16,0,128,512,176,120.704,191.232,128.832,0.1152
mixed,8,1,0.125,4.0,16,0,256,1024,352,155.457,291.873,181.057,0.1877
mixed,8,1,0.125,4.0,16,512,128,512,176,171.875,242.272,177.825,0.0845
mixed,8,1,0.125,4.0,16,512,256,1024,352,204.989,344.772,227.36,0.16
mixed,8,1,0.125,4.0,16,1024,128,512,176,192.514,263.522,199.904,0.1041
mixed,8,1,0.125,4.0,16,1024,256,1024,352,227.137,367.775,249.473,0.1588
mixed,8,1,0.125,4.0,32,0,128,512,176,157.533,228.222,164.672,0.101
mixed,8,1,0.125,4.0,32,0,256,1024,352,192.354,328.866,216.994,0.1805
mixed,8,1,0.125,4.0,32,512,128,512,176,214.176,286.208,220.865,0.0929
mixed,8,1,0.125,4.0,32,512,256,1024,352,252.416,390.242,273.344,0.1518
mixed,8,1,0.125,4.0,32,1024,128,512,176,277.505,353.344,282.847,0.0704
mixed,8,1,0.125,4.0,32,1024,256,1024,352,314.047,455.519,334.56,0.145
mixed,8,1,0.125,4.0,64,0,128,512,176,164.163,237.248,170.112,0.0814
mixed,8,1,0.125,4.0,64,0,256,1024,352,201.44,337.154,220.352,0.1394
mixed,8,1,0.125,4.0,64,512,128,512,176,297.857,373.379,304.416,0.0868
mixed,8,1,0.125,4.0,64,512,256,1024,352,337.216,477.952,353.504,0.1157
